wavelength_um,abs_S11,abs_S21,abs_S31
1.352654015559820566e+00,9.999999403953552246e-01,1.006416976451873779e-01,1.098378375172615051e-01
1.357208406184601257e+00,1.000000000000000000e+00,9.778892248868942261e-02,1.065567806363105774e-01
1.361793569719008667e+00,9.999999403953552246e-01,9.176881611347198486e-02,9.981607645750045776e-02
1.366409819107886614e+00,1.000000000000000000e+00,8.537185192108154297e-02,9.266316890716552734e-02
1.371057471553831730e+00,1.000000000000000000e+00,8.108714967966079712e-02,8.781029284000396729e-02
1.375736848589851569e+00,1.000000000000000000e+00,7.896980643272399902e-02,8.532123267650604248e-02
1.380448276153515730e+00,1.000000000000000000e+00,7.722163200378417969e-02,8.325868099927902222e-02
1.385192084662634215e+00,9.999999403953552246e-01,7.396700233221054077e-02,7.960776984691619873e-02
1.389968609092505414e+00,1.000000000000000000e+00,6.936086714267730713e-02,7.453423738479614258e-02
1.394778189054763251e+00,1.000000000000000000e+00,6.504218280315399170e-02,6.978502869606018066e-02
1.399621168877869914e+00,1.000000000000000000e+00,6.199271231889724731e-02,6.639502942562103271e-02
1.404497897689291008e+00,9.999999403953552246e-01,5.993061885237693787e-02,6.405147910118103027e-02
1.409408729499393553e+00,1.000000000000000000e+00,5.791972577571868896e-02,6.175810471177101135e-02
1.414354023287110795e+00,1.000000000000000000e+00,5.532742291688919067e-02,5.885833874344825745e-02
1.419334143087417344e+00,1.000000000000000000e+00,5.236542969942092896e-02,5.559523031115531921e-02
1.424349458080659048e+00,1.000000000000000000e+00,4.963115975260734558e-02,5.260612443089485168e-02
1.429400342683782021e+00,1.000000000000000000e+00,4.743354767560958862e-02,5.020608380436897278e-02
1.434487176643510997e+00,1.000000000000000000e+00,4.565395414829254150e-02,4.825125262141227722e-02
1.439610345131523195e+00,1.000000000000000000e+00,4.397133737802505493e-02,4.638941586017608643e-02
1.444770238841672105e+00,1.000000000000000000e+00,4.215254634618759155e-02,4.437446594238281250e-02
1.449967254089304047e+00,1.000000000000000000e+00,4.021510481834411621e-02,4.223696887493133545e-02
1.455201792912731218e+00,1.000000000000000000e+00,3.835063800215721130e-02,4.019313678145408630e-02
1.460474263176907650e+00,1.000000000000000000e+00,3.671816736459732056e-02,3.841666877269744873e-02
1.465785078679369358e+00,1.000000000000000000e+00,3.531739860773086548e-02,3.690242022275924683e-02
1.471134659258491073e+00,1.000000000000000000e+00,3.401815146207809448e-02,3.550174832344055176e-02
1.476523430904126633e+00,1.000000000000000000e+00,3.268998861312866211e-02,3.406657278537750244e-02
1.481951825870685857e+00,1.000000000000000000e+00,3.131362423300743103e-02,3.257336840033531189e-02
1.487420282792717874e+00,1.000000000000000000e+00,2.997073903679847717e-02,3.111384436488151550e-02
1.492929246803061272e+00,1.000000000000000000e+00,2.874246053397655487e-02,2.978343516588211060e-02
1.498479169653630150e+00,1.000000000000000000e+00,2.763928845524787903e-02,2.860013395547866821e-02
1.504070509838904890e+00,1.000000000000000000e+00,2.661491930484771729e-02,2.751385234296321869e-02
1.509703732722196712e+00,1.000000000000000000e+00,2.561982721090316772e-02,2.646346203982830048e-02
1.515379310664761503e+00,1.000000000000000000e+00,2.463595196604728699e-02,2.541961893439292908e-02
1.521097723157835979e+00,1.000000000000000000e+00,2.367570437490940094e-02,2.439100667834281921e-02
1.526859456957676331e+00,1.000000000000000000e+00,2.276349626481533051e-02,2.340748719871044159e-02
1.532665006223675075e+00,1.000000000000000000e+00,2.191720157861709595e-02,2.249656058847904205e-02
1.538514872659643373e+00,9.999999403953552246e-01,2.113582193851470947e-02,2.166302688419818878e-02
1.544409565658339201e+00,1.000000000000000000e+00,2.039944939315319061e-02,2.088426612317562103e-02
1.550349602449332842e+00,1.000000000000000000e+00,1.968370750546455383e-02,2.012686617672443390e-02
1.556335508250295652e+00,1.000000000000000000e+00,1.897686719894409180e-02,1.937089860439300537e-02
1.562367816421808442e+00,1.000000000000000000e+00,1.828292571008205414e-02,1.861937157809734344e-02
